Nest,FirstFound,LastPresent,LastChecked,Fate,Freq,Init,AgeDay1,Year,Site,Win_Hi,Win_Lo,Spr_Hi,Spr_Lo
TLM082,17,29,29,0,1,148,-5,1994,kig,46,50,9,0
TLM083,18,37,37,0,1,155,-12,1994,kig,46,50,9,0
TLM087,18,24,24,0,1,142,1,1994,kig,46,50,9,0
TLM088,19,33,33,0,1,148,-5,1994,kig,46,50,9,0
TLM091,19,21,21,0,1,138,5,1994,kig,46,50,9,0
TLM094,20,26,26,0,1,144,-1,1994,kig,46,50,9,0
TLM096,25,33,33,0,1,149,-6,1994,kig,46,50,9,0
TLM097,26,28,28,0,1,146,-3,1994,kig,46,50,9,0
ADS010,5,25,27,1,1,142,1,1994,kig,46,50,9,0
ADS027,13,13,23,1,1,153,-10,1994,kig,46,50,9,0
ADS028,13,13,23,1,1,150,-7,1994,kig,46,50,9,0
ADS029,13,23,33,1,1,150,-7,1994,kig,46,50,9,0
ADS035,15,32,36,1,1,152,-9,1994,kig,46,50,9,0
ADS040,16,31,36,1,1,147,-4,1994,kig,46,50,9,0
ADS044,20,20,26,1,1,144,-1,1994,kig,46,50,9,0
ADS046,24,31,33,1,1,158,-15,1994,kig,46,50,9,0
KSB009,25,32,33,1,1,149,-6,1994,kig,46,50,9,0
TDB001,21,31,37,1,1,155,-12,1994,kig,46,50,9,0
TDB003,24,34,36,1,1,155,-12,1994,kig,46,50,9,0
TLM003,1,1,11,1,1,141,2,1994,kig,46,50,9,0
TLM006,2,2,12,1,1,142,1,1994,kig,46,50,9,0
TLM019,6,26,29,1,1,146,-3,1994,kig,46,50,9,0
TLM028,7,7,24,1,1,141,2,1994,kig,46,50,9,0
TLM032,8,8,18,1,1,142,1,1994,kig,46,50,9,0
TLM046,9,29,31,1,1,146,-3,1994,kig,46,50,9,0
TLM054,12,12,22,1,1,152,-9,1994,kig,46,50,9,0
TLM080,16,16,26,1,1,140,3,1994,kig,46,50,9,0
TLM099,34,36,37,1,1,156,-13,1994,kig,46,50,9,0
KSB007,19,32,32,0,1,150,-7,1994,kig,46,50,9,0
TLM001,1,24,24,0,1,141,2,1994,kig,46,50,9,0
MRB003,1,24,24,0,1,143,2,1995,kig,46,50,8,0
MRB004,1,21,21,0,1,140,5,1995,kig,79,37,7,0
MRB007,2,22,22,0,1,144,1,1995,kig,79,37,7,0
MRB010,4,27,27,0,1,146,-1,1995,kig,79,37,7,0
MRB011,4,26,26,0,1,143,2,1995,kig,79,37,7,0
MRB012,4,25,25,0,1,146,-1,1995,kig,79,37,7,0
MRB014,5,27,27,0,1,147,-2,1995,kig,79,37,7,0
MRB016,5,23,23,0,1,141,4,1995,kig,79,37,7,0
MRB019,6,28,28,0,1,148,-3,1995,kig,79,37,7,0
MRB021,7,23,23,0,1,140,5,1995,kig,79,37,7,0
MRB025,8,21,21,0,1,141,4,1995,kig,79,37,7,0
MRB030,9,25,25,0,1,144,1,1995,kig,79,37,7,0
MRB033,9,24,24,0,1,144,1,1995,kig,79,37,7,0
MRB034,10,26,26,0,1,146,-1,1995,kig,79,37,7,0
MRB036,10,24,24,0,1,143,2,1995,kig,79,37,7,0
MRB040,10,23,23,0,1,146,-1,1995,kig,79,37,7,0
MRB041,11,25,25,0,1,147,-2,1995,kig,79,37,7,0
MRB042,11,25,25,0,1,144,1,1995,kig,79,37,7,0
MRB049,14,28,28,0,1,149,-4,1995,kig,79,37,7,0
MRB050,14,38,38,0,1,156,-11,1995,kig,79,37,7,0
MRB051,15,29,29,0,1,148,-3,1995,kig,79,37,7,0
MRB052,15,33,33,0,1,151,-6,1995,kig,79,37,7,0
MRB053,15,36,36,0,1,157,-12,1995,kig,79,37,7,0
MRB054,15,32,32,0,1,151,-6,1995,kig,79,37,7,0
MRB055,15,33,33,0,1,154,-9,1995,kig,79,37,7,0
MRB061,19,30,30,0,1,148,-3,1995,kig,79,37,7,0
MRB063,20,34,34,0,1,153,-8,1995,kig,79,37,7,0
MRB065,23,31,31,0,1,146,-1,1995,kig,79,37,7,0
MRB067,24,28,28,0,1,147,-2,1995,kig,79,37,7,0
MRB071,32,36,36,0,1,155,-10,1995,kig,79,37,7,0
TLM007,1,24,24,0,1,143,2,1995,kig,79,37,7,0
TLM018,3,24,24,0,1,142,3,1995,kig,79,37,7,0
TLM026,5,27,27,0,1,144,1,1995,kig,79,37,7,0
TLM029,5,21,21,0,1,141,4,1995,kig,79,37,7,0
TLM030,6,26,26,0,1,145,0,1995,kig,79,37,7,0
TLM031,6,19,19,0,1,142,3,1995,kig,79,37,7,0
TLM039,8,23,23,0,1,144,1,1995,kig,79,37,7,0
TLM040,8,27,27,0,1,146,-1,1995,kig,79,37,7,0
TLM043,9,23,23,0,1,144,1,1995,kig,79,37,7,0
TLM044,9,24,24,0,1,145,0,1995,kig,79,37,7,0
TLM045,9,27,27,0,1,148,-3,1995,kig,79,37,7,0
TLM046,9,26,26,0,1,145,0,1995,kig,79,37,7,0
TLM048,9,26,26,0,1,145,0,1995,kig,79,37,7,0
TLM051,9,26,26,0,1,147,-2,1995,kig,79,37,7,0
TLM052,9,25,25,0,1,145,0,1995,kig,79,37,7,0
TLM056,10,31,31,0,1,152,-7,1995,kig,79,37,7,0
TLM057,10,26,26,0,1,144,1,1995,kig,79,37,7,0
TLM058,10,21,21,0,1,139,6,1995,kig,79,37,7,0
TLM059,10,30,30,0,1,152,-7,1995,kig,79,37,7,0
TLM060,10,24,24,0,1,143,2,1995,kig,79,37,7,0
TLM061,10,25,25,0,1,143,2,1995,kig,79,37,7,0
TLM062,11,35,35,0,1,153,-8,1995,kig,79,37,7,0
TLM064,11,25,25,0,1,144,1,1995,kig,79,37,7,0
TLM065,11,30,30,0,1,152,-7,1995,kig,79,37,7,0
TLM067,11,31,31,0,1,152,-7,1995,kig,79,37,7,0
TLM069,11,28,28,0,1,144,1,1995,kig,79,37,7,0
TLM071,12,28,28,0,1,148,-3,1995,kig,79,37,7,0
TLM072,12,32,32,0,1,154,-9,1995,kig,79,37,7,0
TLM073,13,33,33,0,1,155,-10,1995,kig,79,37,7,0
TLM075,13,33,33,0,1,155,-10,1995,kig,79,37,7,0
TLM076,13,29,29,0,1,146,-1,1995,kig,79,37,7,0
TLM078,15,25,25,0,1,138,7,1995,kig,79,37,7,0
TLM081,17,31,31,0,1,153,-8,1995,kig,79,37,7,0
TLM084,17,28,28,0,1,150,-5,1995,kig,79,37,7,0
TLM089,19,32,32,0,1,152,-7,1995,kig,79,37,7,0
TLM090,19,36,36,0,1,155,-10,1995,kig,79,37,7,0
TLM091,19,27,27,0,1,142,3,1995,kig,79,37,7,0
TLM094,22,26,26,0,1,145,0,1995,kig,79,37,7,0
TLM096,25,34,34,0,1,151,-6,1995,kig,79,37,7,0
TLM098,26,34,34,0,1,152,-7,1995,kig,79,37,7,0
MRB017,6,16,22,1,1,145,0,1995,kig,79,37,7,0
MRB022,7,7,17,1,1,149,-4,1995,kig,79,37,7,0
MRB027,9,19,25,1,1,145,0,1995,kig,79,37,7,0
MRB031,9,19,25,1,1,135,10,1995,kig,79,37,7,0
MRB032,9,9,19,1,1,148,-3,1995,kig,79,37,7,0
MRB037,10,20,30,1,1,152,-7,1995,kig,79,37,7,0
MRB039,10,10,20,1,1,145,0,1995,kig,79,37,7,0
MRB056,15,31,33,1,1,151,-6,1995,kig,79,37,7,0
MRB060,16,26,32,1,1,155,-10,1995,kig,79,37,7,0
MRB062,19,25,28,1,1,145,0,1995,kig,79,37,7,0
MRB064,20,30,32,1,1,153,-8,1995,kig,79,37,7,0
TLM016,2,12,22,1,1,144,1,1995,kig,79,37,7,0
TLM017,3,22,23,1,1,145,0,1995,kig,79,37,7,0
TLM019,3,13,23,1,1,145,0,1995,kig,79,37,7,0
TLM028,5,15,25,1,1,147,-2,1995,kig,79,37,7,0
TLM032,6,6,16,1,1,145,0,1995,kig,79,37,7,0
TLM034,8,8,18,1,1,146,-1,1995,kig,79,37,7,0
TLM066,11,11,21,1,1,144,1,1995,kig,79,37,7,0
TLM074,13,13,23,1,1,148,-3,1995,kig,79,37,7,0
TLM079,16,16,26,1,1,158,-13,1995,kig,79,37,7,0
TLM080,17,36,38,1,1,156,-11,1995,kig,79,37,7,0
TLM082,17,17,27,1,1,156,-11,1995,kig,79,37,7,0
TLM092,19,19,29,1,1,158,-13,1995,kig,79,37,7,0
TLM097,25,25,31,1,1,151,-6,1995,kig,79,37,7,0
MRB029,9,19,19,0,1,145,0,1995,kig,79,37,7,0
TLM093,22,35,35,0,1,164,-19,1995,kig,79,37,7,0
TLM099,27,42,42,0,1,163,-18,1995,kig,79,37,7,0
EFS001,5,27,27,0,1,134,1,1996,kig,55,53,5,2
EFS004,7,27,27,0,1,136,-1,1996,kig,55,53,5,2
EFS005,8,29,29,0,1,139,-4,1996,kig,55,53,5,2
EFS007,8,29,29,0,1,137,-2,1996,kig,55,53,5,2
EFS010,10,34,34,0,1,139,-4,1996,kig,55,53,5,2
EFS011,10,32,32,0,1,138,-3,1996,kig,55,53,5,2
EFS013,12,33,33,0,1,140,-5,1996,kig,55,53,5,2
EFS015,12,33,33,0,1,141,-6,1996,kig,55,53,5,2
EFS020,13,33,33,0,1,142,-7,1996,kig,55,53,5,2
EFS023,13,36,36,0,1,145,-10,1996,kig,55,53,5,2
EFS024,13,36,36,0,1,144,-9,1996,kig,55,53,5,2
EFS025,13,30,30,0,1,138,-3,1996,kig,55,53,5,2
EFS027,13,33,33,0,1,142,-7,1996,kig,55,53,5,2
EFS028,13,36,36,0,1,145,-10,1996,kig,55,53,5,2
EFS029,13,33,33,0,1,145,-10,1996,kig,55,53,5,2
EFS032,14,35,35,0,1,146,-11,1996,kig,55,53,5,2
EFS035,14,35,35,0,1,146,-11,1996,kig,55,53,5,2
EFS036,14,32,32,0,1,137,-2,1996,kig,55,53,5,2
EFS038,16,32,32,0,1,137,-2,1996,kig,55,53,5,2
EFS040,17,34,34,0,1,140,-5,1996,kig,55,53,5,2
EFS042,17,37,37,0,1,142,-7,1996,kig,55,53,5,2
EFS046,17,38,38,0,1,148,-13,1996,kig,55,53,5,2
EFS049,17,33,33,0,1,143,-8,1996,kig,55,53,5,2
EFS051,18,39,39,0,1,150,-15,1996,kig,55,53,5,2
EFS052,18,34,34,0,1,141,-6,1996,kig,55,53,5,2
EFS053,18,34,34,0,1,141,-6,1996,kig,55,53,5,2
EFS054,18,28,28,0,1,139,-4,1996,kig,55,53,5,2
EFS058,20,41,41,0,1,151,-16,1996,kig,55,53,5,2
EFS060,20,35,35,0,1,146,-11,1996,kig,55,53,5,2
EFS062,22,37,37,0,1,145,-10,1996,kig,55,53,5,2
EFS066,23,36,36,0,1,146,-11,1996,kig,55,53,5,2
EFS068,24,40,40,0,1,150,-15,1996,kig,55,53,5,2
EFS070,25,28,28,0,1,138,-3,1996,kig,55,53,5,2
EFS071,25,28,28,0,1,138,-3,1996,kig,55,53,5,2
EFS072,27,39,39,0,1,143,-8,1996,kig,55,53,5,2
EFS073,27,30,30,0,1,140,-5,1996,kig,55,53,5,2
EFS074,27,32,32,0,1,140,-5,1996,kig,55,53,5,2
TLM001,1,28,28,0,1,133,2,1996,kig,55,53,5,2
TLM002,5,28,28,0,1,137,-2,1996,kig,55,53,5,2
TLM003,7,28,28,0,1,139,-4,1996,kig,55,53,5,2
TLM004,7,30,30,0,1,139,-4,1996,kig,55,53,5,2
TLM005,7,28,28,0,1,139,-4,1996,kig,55,53,5,2
TLM006,7,30,30,0,1,139,-4,1996,kig,55,53,5,2
TLM007,7,27,27,0,1,136,-1,1996,kig,55,53,5,2
TLM008,7,30,30,0,1,139,-4,1996,kig,55,53,5,2
TLM009,7,32,32,0,1,139,-4,1996,kig,55,53,5,2
TLM011,8,29,29,0,1,140,-5,1996,kig,55,53,5,2
TLM013,8,30,30,0,1,140,-5,1996,kig,55,53,5,2
TLM014,8,29,29,0,1,140,-5,1996,kig,55,53,5,2
TLM017,9,35,35,0,1,141,-6,1996,kig,55,53,5,2
TLM020,10,32,32,0,1,139,-4,1996,kig,55,53,5,2
TLM024,11,34,34,0,1,143,-8,1996,kig,55,53,5,2
TLM025,11,33,33,0,1,143,-8,1996,kig,55,53,5,2
TLM028,11,33,33,0,1,142,-7,1996,kig,55,53,5,2
TLM030,11,34,34,0,1,143,-8,1996,kig,55,53,5,2
TLM037,13,35,35,0,1,145,-10,1996,kig,55,53,5,2
TLM040,13,35,35,0,1,144,-9,1996,kig,55,53,5,2
TLM048,14,38,38,0,1,145,-10,1996,kig,55,53,5,2
TLM049,14,38,38,0,1,146,-11,1996,kig,55,53,5,2
TLM050,16,34,34,0,1,145,-10,1996,kig,55,53,5,2
TLM051,16,35,35,0,1,145,-10,1996,kig,55,53,5,2
TLM052,16,35,35,0,1,144,-9,1996,kig,55,53,5,2
TLM053,16,38,38,0,1,148,-13,1996,kig,55,53,5,2
TLM054,16,32,32,0,1,145,-10,1996,kig,55,53,5,2
TLM056,17,32,32,0,1,143,-8,1996,kig,55,53,5,2
TLM058,17,32,32,0,1,143,-8,1996,kig,55,53,5,2
TLM060,17,40,40,0,1,149,-14,1996,kig,55,53,5,2
TLM063,17,37,37,0,1,146,-11,1996,kig,55,53,5,2
TLM067,18,33,33,0,1,141,-6,1996,kig,55,53,5,2
TLM069,18,31,31,0,1,144,-9,1996,kig,55,53,5,2
TLM070,18,32,32,0,1,143,-8,1996,kig,55,53,5,2
TLM072,19,35,35,0,1,145,-10,1996,kig,55,53,5,2
TLM073,19,30,30,0,1,145,-10,1996,kig,55,53,5,2
TLM075,19,39,39,0,1,148,-13,1996,kig,55,53,5,2
TLM080,20,41,41,0,1,149,-14,1996,kig,55,53,5,2
TLM082,20,35,35,0,1,143,-8,1996,kig,55,53,5,2
TLM083,20,41,41,0,1,149,-14,1996,kig,55,53,5,2
TLM084,20,41,41,0,1,152,-17,1996,kig,55,53,5,2
TLM085,21,38,38,0,1,147,-12,1996,kig,55,53,5,2
TLM086,21,34,34,0,1,144,-9,1996,kig,55,53,5,2
TLM087,21,39,39,0,1,144,-9,1996,kig,55,53,5,2
TLM088,21,41,41,0,1,147,-12,1996,kig,55,53,5,2
TLM089,21,39,39,0,1,150,-15,1996,kig,55,53,5,2
TLM094,23,41,41,0,1,155,-20,1996,kig,55,53,5,2
TLM095,23,39,39,0,1,146,-11,1996,kig,55,53,5,2
TLM096,24,42,42,0,1,153,-18,1996,kig,55,53,5,2
TLM097,24,41,41,0,1,150,-15,1996,kig,55,53,5,2
TLM098,24,39,39,0,1,147,-12,1996,kig,55,53,5,2
TLM099,24,44,44,0,1,155,-20,1996,kig,55,53,5,2
TLM100,25,37,37,0,1,144,-9,1996,kig,55,53,5,2
TLM103,26,42,42,0,1,149,-14,1996,kig,55,53,5,2
TLM104,26,32,32,0,1,139,-4,1996,kig,55,53,5,2
TLM107,28,40,40,0,1,147,-12,1996,kig,55,53,5,2
TLM108,28,44,44,0,1,151,-16,1996,kig,55,53,5,2
TLM109,28,43,43,0,1,151,-16,1996,kig,55,53,5,2
TLM110,30,35,35,0,1,143,-8,1996,kig,55,53,5,2
EFS003,7,7,17,1,1,136,-1,1996,kig,55,53,5,2
EFS008,9,29,35,1,1,138,-3,1996,kig,55,53,5,2
EFS018,12,26,29,1,1,135,0,1996,kig,55,53,5,2
EFS022,13,31,33,1,1,142,-7,1996,kig,55,53,5,2
EFS034,14,24,28,1,1,137,-2,1996,kig,55,53,5,2
EFS039,17,17,27,1,1,149,-14,1996,kig,55,53,5,2
EFS041,17,17,27,1,1,149,-14,1996,kig,55,53,5,2
EFS069,24,24,33,1,1,145,-10,1996,kig,55,53,5,2
TLM010,8,8,18,1,1,140,-5,1996,kig,55,53,5,2
TLM019,10,32,35,1,1,142,-7,1996,kig,55,53,5,2
TLM026,11,11,21,1,1,143,-8,1996,kig,55,53,5,2
TLM027,11,21,30,1,1,143,-8,1996,kig,55,53,5,2
TLM029,11,11,21,1,1,143,-8,1996,kig,55,53,5,2
TLM055,16,16,26,1,1,139,-4,1996,kig,55,53,5,2
TLM057,17,30,33,1,1,143,-8,1996,kig,55,53,5,2
TLM102,26,35,37,1,1,145,-10,1996,kig,55,53,5,2
TLM074,19,39,39,0,1,148,-13,1996,kig,55,53,5,2
TLM115,46,49,49,0,1,159,-24,1996,kig,55,53,5,2
EFS001,1,31,31,0,1,135,5,1997,kig,39,64,13,1
EFS004,1,21,21,0,1,135,5,1997,kig,39,64,13,1
EFS013,3,23,23,0,1,137,3,1997,kig,39,64,13,1
EFS018,4,21,21,0,1,135,5,1997,kig,39,64,13,1
EFS022,5,27,27,0,1,136,4,1997,kig,39,64,13,1
EFS025,6,21,21,0,1,134,6,1997,kig,39,64,13,1
EFS026,6,29,29,0,1,143,-3,1997,kig,39,64,13,1
EFS028,6,24,24,0,1,137,3,1997,kig,39,64,13,1
EFS029,8,30,30,0,1,145,-5,1997,kig,39,64,13,1
EFS030,8,30,30,0,1,142,-2,1997,kig,39,64,13,1
EFS032,8,26,26,0,1,139,1,1997,kig,39,64,13,1
EFS033,9,25,25,0,1,137,3,1997,kig,39,64,13,1
EFS034,10,26,26,0,1,138,2,1997,kig,39,64,13,1
EFS035,10,30,30,0,1,141,-1,1997,kig,39,64,13,1
EFS037,10,34,34,0,1,147,-7,1997,kig,39,64,13,1
EFS038,10,33,33,0,1,147,-7,1997,kig,39,64,13,1
EFS042,11,30,30,0,1,139,1,1997,kig,39,64,13,1
EFS048,14,36,36,0,1,148,-8,1997,kig,39,64,13,1
EFS050,14,34,34,0,1,148,-8,1997,kig,39,64,13,1
EFS052,15,25,25,0,1,136,4,1997,kig,39,64,13,1
EFS056,18,35,35,0,1,146,-6,1997,kig,39,64,13,1
EFS061,27,36,36,0,1,151,-11,1997,kig,39,64,13,1
GJH004,1,23,23,0,1,135,5,1997,kig,39,64,13,1
GJH015,4,27,27,0,1,138,2,1997,kig,39,64,13,1
GJH016,4,21,21,0,1,135,5,1997,kig,39,64,13,1
GJH022,5,22,22,0,1,139,1,1997,kig,39,64,13,1
GJH026,6,26,26,0,1,134,6,1997,kig,39,64,13,1
GJH027,6,22,22,0,1,134,6,1997,kig,39,64,13,1
GJH028,8,32,32,0,1,142,-2,1997,kig,39,64,13,1
GJH029,8,22,22,0,1,136,4,1997,kig,39,64,13,1
GJH030,8,30,30,0,1,142,-2,1997,kig,39,64,13,1
GJH031,8,21,21,0,1,136,4,1997,kig,39,64,13,1
GJH034,10,27,27,0,1,141,-1,1997,kig,39,64,13,1
GJH035,10,30,30,0,1,144,-4,1997,kig,39,64,13,1
GJH037,10,34,34,0,1,144,-4,1997,kig,39,64,13,1
GJH040,11,27,27,0,1,142,-2,1997,kig,39,64,13,1
GJH043,11,27,27,0,1,139,1,1997,kig,39,64,13,1
GJH047,12,31,31,0,1,143,-3,1997,kig,39,64,13,1
GJH048,12,33,33,0,1,146,-6,1997,kig,39,64,13,1
GJH049,14,29,29,0,1,142,-2,1997,kig,39,64,13,1
GJH051,14,23,23,0,1,132,8,1997,kig,39,64,13,1
GJH052,15,33,33,0,1,146,-6,1997,kig,39,64,13,1
GJH053,15,34,34,0,1,149,-9,1997,kig,39,64,13,1
GJH054,16,31,31,0,1,147,-7,1997,kig,39,64,13,1
GJH057,17,39,39,0,1,151,-11,1997,kig,39,64,13,1
GJH058,18,35,35,0,1,149,-9,1997,kig,39,64,13,1
GJH062,19,40,40,0,1,153,-13,1997,kig,39,64,13,1
MMB003,2,24,24,0,1,136,4,1997,kig,39,64,13,1
MMB011,7,23,23,0,1,138,2,1997,kig,39,64,13,1
MMB013,9,32,32,0,1,143,-3,1997,kig,39,64,13,1
MMB015,9,23,23,0,1,137,3,1997,kig,39,64,13,1
MMB016,10,32,32,0,1,144,-4,1997,kig,39,64,13,1
MMB018,11,27,27,0,1,139,1,1997,kig,39,64,13,1
MMB019,11,28,28,0,1,139,1,1997,kig,39,64,13,1
MMB020,11,28,28,0,1,142,-2,1997,kig,39,64,13,1
MMB021,12,31,31,0,1,146,-6,1997,kig,39,64,13,1
MMB023,12,27,27,0,1,140,0,1997,kig,39,64,13,1
MMB024,12,28,28,0,1,140,0,1997,kig,39,64,13,1
MMB027,13,31,31,0,1,144,-4,1997,kig,39,64,13,1
MMB029,16,39,39,0,1,150,-10,1997,kig,39,64,13,1
MMB030,17,34,34,0,1,150,-10,1997,kig,39,64,13,1
MMB031,17,34,34,0,1,151,-11,1997,kig,39,64,13,1
MMB032,17,33,33,0,1,150,-10,1997,kig,39,64,13,1
MMB040,23,37,37,0,1,151,-11,1997,kig,39,64,13,1
MMB042,33,49,49,0,1,164,-24,1997,kig,39,64,13,1
TLM002,1,24,24,0,1,138,2,1997,kig,39,64,13,1
TLM003,1,25,25,0,1,138,2,1997,kig,39,64,13,1
TLM009,3,24,24,0,1,137,3,1997,kig,39,64,13,1
TLM017,4,30,30,0,1,141,-1,1997,kig,39,64,13,1
TLM020,5,26,26,0,1,139,1,1997,kig,39,64,13,1
TLM021,5,22,22,0,1,139,1,1997,kig,39,64,13,1
TLM022,5,35,35,0,1,142,-2,1997,kig,39,64,13,1
TLM023,5,25,25,0,1,142,-2,1997,kig,39,64,13,1
TLM029,5,28,28,0,1,142,-2,1997,kig,39,64,13,1
TLM030,7,23,23,0,1,138,2,1997,kig,39,64,13,1
TLM035,7,23,23,0,1,138,2,1997,kig,39,64,13,1
TLM037,8,27,27,0,1,142,-2,1997,kig,39,64,13,1
TLM038,8,25,25,0,1,142,-2,1997,kig,39,64,13,1
TLM039,8,24,24,0,1,142,-2,1997,kig,39,64,13,1
TLM040,8,31,31,0,1,145,-5,1997,kig,39,64,13,1
TLM049,10,31,31,0,1,147,-7,1997,kig,39,64,13,1
TLM050,10,27,27,0,1,144,-4,1997,kig,39,64,13,1
TLM054,10,32,32,0,1,147,-7,1997,kig,39,64,13,1
TLM056,11,20,20,0,1,132,8,1997,kig,39,64,13,1
TLM057,11,33,33,0,1,148,-8,1997,kig,39,64,13,1
TLM058,11,33,33,0,1,148,-8,1997,kig,39,64,13,1
TLM059,11,27,27,0,1,139,1,1997,kig,39,64,13,1
TLM060,11,31,31,0,1,145,-5,1997,kig,39,64,13,1
TLM062,11,33,33,0,1,148,-8,1997,kig,39,64,13,1
TLM063,11,27,27,0,1,139,1,1997,kig,39,64,13,1
TLM064,12,22,22,0,1,133,7,1997,kig,39,64,13,1
TLM065,12,30,30,0,1,143,-3,1997,kig,39,64,13,1
TLM066,12,29,29,0,1,146,-6,1997,kig,39,64,13,1
TLM067,12,29,29,0,1,146,-6,1997,kig,39,64,13,1
TLM068,12,29,29,0,1,146,-6,1997,kig,39,64,13,1
TLM069,12,27,27,0,1,143,-3,1997,kig,39,64,13,1
TLM073,13,21,21,0,1,134,6,1997,kig,39,64,13,1
TLM074,13,34,34,0,1,150,-10,1997,kig,39,64,13,1
TLM076,13,30,30,0,1,141,-1,1997,kig,39,64,13,1
TLM078,13,30,30,0,1,144,-4,1997,kig,39,64,13,1
TLM079,13,30,30,0,1,144,-4,1997,kig,39,64,13,1
TLM080,13,34,34,0,1,147,-7,1997,kig,39,64,13,1
TLM082,13,28,28,0,1,144,-4,1997,kig,39,64,13,1
TLM083,15,35,35,0,1,149,-9,1997,kig,39,64,13,1
TLM084,15,36,36,0,1,149,-9,1997,kig,39,64,13,1
TLM086,15,33,33,0,1,146,-6,1997,kig,39,64,13,1
TLM088,15,32,32,0,1,149,-9,1997,kig,39,64,13,1
TLM089,16,36,36,0,1,150,-10,1997,kig,39,64,13,1
TLM090,16,39,39,0,1,153,-13,1997,kig,39,64,13,1
TLM093,18,39,39,0,1,155,-15,1997,kig,39,64,13,1
TLM094,18,28,28,0,1,139,1,1997,kig,39,64,13,1
TLM101,29,44,44,0,1,160,-20,1997,kig,39,64,13,1
TLM104,41,47,47,0,1,162,-22,1997,kig,39,64,13,1
WSK001,20,39,39,0,1,154,-14,1997,kig,39,64,13,1
EFS045,12,30,30,0,1,143,-3,1997,kig,39,64,13,1
EFS003,1,1,8,1,1,138,2,1997,kig,39,64,13,1
EFS020,4,18,24,1,1,141,-1,1997,kig,39,64,13,1
EFS023,6,33,36,1,1,143,-3,1997,kig,39,64,13,1
EFS036,10,10,17,1,1,147,-7,1997,kig,39,64,13,1
EFS044,12,30,32,1,1,146,-6,1997,kig,39,64,13,1
EFS049,14,26,31,1,1,142,-2,1997,kig,39,64,13,1
