"","FirstFound","LastPresent","LastChecked","Fate","Freq","Init","NestAge","Site","Nest","X","year_winter","ws_days_tmin_below_15","w_days_tmin_below_15","sp_days_tmin_below_11","winter_meanTmin","spring_meanTmin","ws_days_awnd_above_13_6","w_days_awnd_above_13_8","sp_days_awnd_above_12","winter_meanWind","spring_meanWind","ws_count_sic_ge95","winter_count_sic_ge95","spring_count_sic_ge95","ws_count_sic_le15","winter_count_sic_le15","spring_count_sic_le15","ws_index","winter_index","spring_index","Year"
"20",29,32,32,0,1,150,-7,"Kig","KSB017",1,1993,14,14,1,-5.03046357615894,-5.48,9,7,1,8.54172185430463,8.10333333333333,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026,1994
"21",24,47,47,0,1,155,-12,"Kig","TDB002",1,1993,14,14,1,-5.03046357615894,-5.48,9,7,1,8.54172185430463,8.10333333333333,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026,1994
"22",1,24,24,0,1,141,2,"Kig","TLM004",1,1993,14,14,1,-5.03046357615894,-5.48,9,7,1,8.54172185430463,8.10333333333333,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026,1994
"23",2,26,26,0,1,142,1,"Kig","TLM007",1,1993,14,14,1,-5.03046357615894,-5.48,9,7,1,8.54172185430463,8.10333333333333,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026,1994
"24",3,24,24,0,1,140,3,"Kig","TLM012",1,1993,14,14,1,-5.03046357615894,-5.48,9,7,1,8.54172185430463,8.10333333333333,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026,1994
"25",3,28,28,0,1,143,0,"Kig","TLM014",1,1993,14,14,1,-5.03046357615894,-5.48,9,7,1,8.54172185430463,8.10333333333333,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026,1994
"26",4,27,27,0,1,141,2,"Kig","TLM016",1,1993,14,14,1,-5.03046357615894,-5.48,9,7,1,8.54172185430463,8.10333333333333,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026,1994
"27",4,25,25,0,1,141,2,"Kig","TLM017",1,1993,14,14,1,-5.03046357615894,-5.48,9,7,1,8.54172185430463,8.10333333333333,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026,1994
"28",6,28,28,0,1,143,0,"Kig","TLM021",1,1993,14,14,1,-5.03046357615894,-5.48,9,7,1,8.54172185430463,8.10333333333333,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026,1994
"29",6,29,29,0,1,143,0,"Kig","TLM023",1,1993,14,14,1,-5.03046357615894,-5.48,9,7,1,8.54172185430463,8.10333333333333,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026,1994
"30",6,18,18,0,1,140,3,"Kig","TLM026",1,1993,14,14,1,-5.03046357615894,-5.48,9,7,1,8.54172185430463,8.10333333333333,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026,1994
"31",7,31,31,0,1,147,-4,"Kig","TLM029",1,1993,14,14,1,-5.03046357615894,-5.48,9,7,1,8.54172185430463,8.10333333333333,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026,1994
"32",8,30,30,0,1,145,-2,"Kig","TLM031",1,1993,14,14,1,-5.03046357615894,-5.48,9,7,1,8.54172185430463,8.10333333333333,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026,1994
"33",8,24,24,0,1,145,-2,"Kig","TLM033",1,1993,14,14,1,-5.03046357615894,-5.48,9,7,1,8.54172185430463,8.10333333333333,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026,1994
"34",8,28,28,0,1,145,-2,"Kig","TLM042",1,1993,14,14,1,-5.03046357615894,-5.48,9,7,1,8.54172185430463,8.10333333333333,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026,1994
"35",8,30,30,0,1,145,-2,"Kig","TLM043",1,1993,14,14,1,-5.03046357615894,-5.48,9,7,1,8.54172185430463,8.10333333333333,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026,1994
"36",9,20,20,0,1,133,10,"Kig","TLM045",1,1993,14,14,1,-5.03046357615894,-5.48,9,7,1,8.54172185430463,8.10333333333333,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026,1994
"37",9,27,27,0,1,143,0,"Kig","TLM047",1,1993,14,14,1,-5.03046357615894,-5.48,9,7,1,8.54172185430463,8.10333333333333,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026,1994
"38",10,23,23,0,1,144,-1,"Kig","TLM051",1,1993,14,14,1,-5.03046357615894,-5.48,9,7,1,8.54172185430463,8.10333333333333,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026,1994
"39",11,34,34,0,1,151,-8,"Kig","TLM052",1,1993,14,14,1,-5.03046357615894,-5.48,9,7,1,8.54172185430463,8.10333333333333,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026,1994
"40",11,25,25,0,1,142,1,"Kig","TLM053",1,1993,14,14,1,-5.03046357615894,-5.48,9,7,1,8.54172185430463,8.10333333333333,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026,1994
"41",12,33,33,0,1,152,-9,"Kig","TLM067",1,1993,14,14,1,-5.03046357615894,-5.48,9,7,1,8.54172185430463,8.10333333333333,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026,1994
"42",12,25,25,0,1,146,-3,"Kig","TLM070",1,1993,14,14,1,-5.03046357615894,-5.48,9,7,1,8.54172185430463,8.10333333333333,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026,1994
"43",13,29,29,0,1,147,-4,"Kig","TLM071",1,1993,14,14,1,-5.03046357615894,-5.48,9,7,1,8.54172185430463,8.10333333333333,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026,1994
"44",13,24,24,0,1,150,-7,"Kig","TLM073",1,1993,14,14,1,-5.03046357615894,-5.48,9,7,1,8.54172185430463,8.10333333333333,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026,1994
"45",13,29,29,0,1,144,-1,"Kig","TLM074",1,1993,14,14,1,-5.03046357615894,-5.48,9,7,1,8.54172185430463,8.10333333333333,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026,1994
"46",14,26,26,0,1,145,-2,"Kig","TLM075",1,1993,14,14,1,-5.03046357615894,-5.48,9,7,1,8.54172185430463,8.10333333333333,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026,1994
"47",14,29,29,0,1,148,-5,"Kig","TLM078",1,1993,14,14,1,-5.03046357615894,-5.48,9,7,1,8.54172185430463,8.10333333333333,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026,1994
"48",16,29,29,0,1,150,-7,"Kig","TLM079",1,1993,14,14,1,-5.03046357615894,-5.48,9,7,1,8.54172185430463,8.10333333333333,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026,1994
"49",17,29,29,0,1,148,-5,"Kig","TLM082",1,1993,14,14,1,-5.03046357615894,-5.48,9,7,1,8.54172185430463,8.10333333333333,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026,1994
"50",18,37,37,0,1,155,-12,"Kig","TLM083",1,1993,14,14,1,-5.03046357615894,-5.48,9,7,1,8.54172185430463,8.10333333333333,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026,1994
"51",18,24,24,0,1,142,1,"Kig","TLM087",1,1993,14,14,1,-5.03046357615894,-5.48,9,7,1,8.54172185430463,8.10333333333333,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026,1994
"52",19,33,33,0,1,148,-5,"Kig","TLM088",1,1993,14,14,1,-5.03046357615894,-5.48,9,7,1,8.54172185430463,8.10333333333333,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026,1994
"53",19,21,21,0,1,138,5,"Kig","TLM091",1,1993,14,14,1,-5.03046357615894,-5.48,9,7,1,8.54172185430463,8.10333333333333,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026,1994
"54",20,26,26,0,1,144,-1,"Kig","TLM094",1,1993,14,14,1,-5.03046357615894,-5.48,9,7,1,8.54172185430463,8.10333333333333,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026,1994
"55",25,33,33,0,1,149,-6,"Kig","TLM096",1,1993,14,14,1,-5.03046357615894,-5.48,9,7,1,8.54172185430463,8.10333333333333,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026,1994
"56",26,28,28,0,1,146,-3,"Kig","TLM097",1,1993,14,14,1,-5.03046357615894,-5.48,9,7,1,8.54172185430463,8.10333333333333,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026,1994
"57",5,25,27,1,1,142,1,"Kig","ADS010",1,1993,14,14,1,-5.03046357615894,-5.48,9,7,1,8.54172185430463,8.10333333333333,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026,1994
"58",13,13,23,1,1,153,-10,"Kig","ADS027",1,1993,14,14,1,-5.03046357615894,-5.48,9,7,1,8.54172185430463,8.10333333333333,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026,1994
"59",13,13,23,1,1,150,-7,"Kig","ADS028",1,1993,14,14,1,-5.03046357615894,-5.48,9,7,1,8.54172185430463,8.10333333333333,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026,1994
"60",13,23,33,1,1,150,-7,"Kig","ADS029",1,1993,14,14,1,-5.03046357615894,-5.48,9,7,1,8.54172185430463,8.10333333333333,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026,1994
"61",15,32,36,1,1,152,-9,"Kig","ADS035",1,1993,14,14,1,-5.03046357615894,-5.48,9,7,1,8.54172185430463,8.10333333333333,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026,1994
"62",16,31,36,1,1,147,-4,"Kig","ADS040",1,1993,14,14,1,-5.03046357615894,-5.48,9,7,1,8.54172185430463,8.10333333333333,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026,1994
"63",20,20,26,1,1,144,-1,"Kig","ADS044",1,1993,14,14,1,-5.03046357615894,-5.48,9,7,1,8.54172185430463,8.10333333333333,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026,1994
"64",24,31,33,1,1,158,-15,"Kig","ADS046",1,1993,14,14,1,-5.03046357615894,-5.48,9,7,1,8.54172185430463,8.10333333333333,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026,1994
"65",25,32,33,1,1,149,-6,"Kig","KSB009",1,1993,14,14,1,-5.03046357615894,-5.48,9,7,1,8.54172185430463,8.10333333333333,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026,1994
"66",21,31,37,1,1,155,-12,"Kig","TDB001",1,1993,14,14,1,-5.03046357615894,-5.48,9,7,1,8.54172185430463,8.10333333333333,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026,1994
"67",24,34,36,1,1,155,-12,"Kig","TDB003",1,1993,14,14,1,-5.03046357615894,-5.48,9,7,1,8.54172185430463,8.10333333333333,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026,1994
"68",1,1,11,1,1,141,2,"Kig","TLM003",1,1993,14,14,1,-5.03046357615894,-5.48,9,7,1,8.54172185430463,8.10333333333333,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026,1994
"69",2,2,12,1,1,142,1,"Kig","TLM006",1,1993,14,14,1,-5.03046357615894,-5.48,9,7,1,8.54172185430463,8.10333333333333,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026,1994
"70",6,26,29,1,1,146,-3,"Kig","TLM019",1,1993,14,14,1,-5.03046357615894,-5.48,9,7,1,8.54172185430463,8.10333333333333,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026,1994
"71",7,7,24,1,1,141,2,"Kig","TLM028",1,1993,14,14,1,-5.03046357615894,-5.48,9,7,1,8.54172185430463,8.10333333333333,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026,1994
"72",8,8,18,1,1,142,1,"Kig","TLM032",1,1993,14,14,1,-5.03046357615894,-5.48,9,7,1,8.54172185430463,8.10333333333333,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026,1994
"73",9,29,31,1,1,146,-3,"Kig","TLM046",1,1993,14,14,1,-5.03046357615894,-5.48,9,7,1,8.54172185430463,8.10333333333333,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026,1994
"74",12,12,22,1,1,152,-9,"Kig","TLM054",1,1993,14,14,1,-5.03046357615894,-5.48,9,7,1,8.54172185430463,8.10333333333333,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026,1994
"75",16,16,26,1,1,140,3,"Kig","TLM080",1,1993,14,14,1,-5.03046357615894,-5.48,9,7,1,8.54172185430463,8.10333333333333,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026,1994
"76",34,36,37,1,1,156,-13,"Kig","TLM099",1,1993,14,14,1,-5.03046357615894,-5.48,9,7,1,8.54172185430463,8.10333333333333,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026,1994
"77",19,32,32,0,1,150,-7,"Kig","KSB007",1,1993,14,14,1,-5.03046357615894,-5.48,9,7,1,8.54172185430463,8.10333333333333,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026,1994
"78",1,24,24,0,1,141,2,"Kig","TLM001",1,1993,14,14,1,-5.03046357615894,-5.48,9,7,1,8.54172185430463,8.10333333333333,55,46,9,50,50,0,127.995498805247,98.1253026040822,19.775021196026,1994
"79",1,24,24,0,1,143,2,"Kig","MRB003",2,1994,16,13,5,-6.21854304635762,-5.62666666666667,11,9,1,8.76556291390729,7.08333333333333,86,79,7,37,37,0,260.711091695671,251.870077385187,8.84101431048389,1995
"80",1,21,21,0,1,140,5,"Kig","MRB004",2,1994,16,13,5,-6.21854304635762,-5.62666666666667,11,9,1,8.76556291390729,7.08333333333333,86,79,7,37,37,0,260.711091695671,251.870077385187,8.84101431048389,1995
"81",2,22,22,0,1,144,1,"Kig","MRB007",2,1994,16,13,5,-6.21854304635762,-5.62666666666667,11,9,1,8.76556291390729,7.08333333333333,86,79,7,37,37,0,260.711091695671,251.870077385187,8.84101431048389,1995
"82",4,27,27,0,1,146,-1,"Kig","MRB010",2,1994,16,13,5,-6.21854304635762,-5.62666666666667,11,9,1,8.76556291390729,7.08333333333333,86,79,7,37,37,0,260.711091695671,251.870077385187,8.84101431048389,1995
"83",4,26,26,0,1,143,2,"Kig","MRB011",2,1994,16,13,5,-6.21854304635762,-5.62666666666667,11,9,1,8.76556291390729,7.08333333333333,86,79,7,37,37,0,260.711091695671,251.870077385187,8.84101431048389,1995
"84",4,25,25,0,1,146,-1,"Kig","MRB012",2,1994,16,13,5,-6.21854304635762,-5.62666666666667,11,9,1,8.76556291390729,7.08333333333333,86,79,7,37,37,0,260.711091695671,251.870077385187,8.84101431048389,1995
"85",5,27,27,0,1,147,-2,"Kig","MRB014",2,1994,16,13,5,-6.21854304635762,-5.62666666666667,11,9,1,8.76556291390729,7.08333333333333,86,79,7,37,37,0,260.711091695671,251.870077385187,8.84101431048389,1995
"86",5,23,23,0,1,141,4,"Kig","MRB016",2,1994,16,13,5,-6.21854304635762,-5.62666666666667,11,9,1,8.76556291390729,7.08333333333333,86,79,7,37,37,0,260.711091695671,251.870077385187,8.84101431048389,1995
"87",6,28,28,0,1,148,-3,"Kig","MRB019",2,1994,16,13,5,-6.21854304635762,-5.62666666666667,11,9,1,8.76556291390729,7.08333333333333,86,79,7,37,37,0,260.711091695671,251.870077385187,8.84101431048389,1995
"88",7,23,23,0,1,140,5,"Kig","MRB021",2,1994,16,13,5,-6.21854304635762,-5.62666666666667,11,9,1,8.76556291390729,7.08333333333333,86,79,7,37,37,0,260.711091695671,251.870077385187,8.84101431048389,1995
"89",8,21,21,0,1,141,4,"Kig","MRB025",2,1994,16,13,5,-6.21854304635762,-5.62666666666667,11,9,1,8.76556291390729,7.08333333333333,86,79,7,37,37,0,260.711091695671,251.870077385187,8.84101431048389,1995
"90",9,25,25,0,1,144,1,"Kig","MRB030",2,1994,16,13,5,-6.21854304635762,-5.62666666666667,11,9,1,8.76556291390729,7.08333333333333,86,79,7,37,37,0,260.711091695671,251.870077385187,8.84101431048389,1995
"91",9,24,24,0,1,144,1,"Kig","MRB033",2,1994,16,13,5,-6.21854304635762,-5.62666666666667,11,9,1,8.76556291390729,7.08333333333333,86,79,7,37,37,0,260.711091695671,251.870077385187,8.84101431048389,1995
"92",10,26,26,0,1,146,-1,"Kig","MRB034",2,1994,16,13,5,-6.21854304635762,-5.62666666666667,11,9,1,8.76556291390729,7.08333333333333,86,79,7,37,37,0,260.711091695671,251.870077385187,8.84101431048389,1995
"93",10,24,24,0,1,143,2,"Kig","MRB036",2,1994,16,13,5,-6.21854304635762,-5.62666666666667,11,9,1,8.76556291390729,7.08333333333333,86,79,7,37,37,0,260.711091695671,251.870077385187,8.84101431048389,1995
"94",10,23,23,0,1,146,-1,"Kig","MRB040",2,1994,16,13,5,-6.21854304635762,-5.62666666666667,11,9,1,8.76556291390729,7.08333333333333,86,79,7,37,37,0,260.711091695671,251.870077385187,8.84101431048389,1995
"95",11,25,25,0,1,147,-2,"Kig","MRB041",2,1994,16,13,5,-6.21854304635762,-5.62666666666667,11,9,1,8.76556291390729,7.08333333333333,86,79,7,37,37,0,260.711091695671,251.870077385187,8.84101431048389,1995
"96",11,25,25,0,1,144,1,"Kig","MRB042",2,1994,16,13,5,-6.21854304635762,-5.62666666666667,11,9,1,8.76556291390729,7.08333333333333,86,79,7,37,37,0,260.711091695671,251.870077385187,8.84101431048389,1995
"97",14,28,28,0,1,149,-4,"Kig","MRB049",2,1994,16,13,5,-6.21854304635762,-5.62666666666667,11,9,1,8.76556291390729,7.08333333333333,86,79,7,37,37,0,260.711091695671,251.870077385187,8.84101431048389,1995
"98",14,38,38,0,1,156,-11,"Kig","MRB050",2,1994,16,13,5,-6.21854304635762,-5.62666666666667,11,9,1,8.76556291390729,7.08333333333333,86,79,7,37,37,0,260.711091695671,251.870077385187,8.84101431048389,1995
"99",15,29,29,0,1,148,-3,"Kig","MRB051",2,1994,16,13,5,-6.21854304635762,-5.62666666666667,11,9,1,8.76556291390729,7.08333333333333,86,79,7,37,37,0,260.711091695671,251.870077385187,8.84101431048389,1995
"100",15,33,33,0,1,151,-6,"Kig","MRB052",2,1994,16,13,5,-6.21854304635762,-5.62666666666667,11,9,1,8.76556291390729,7.08333333333333,86,79,7,37,37,0,260.711091695671,251.870077385187,8.84101431048389,1995
"101",15,36,36,0,1,157,-12,"Kig","MRB053",2,1994,16,13,5,-6.21854304635762,-5.62666666666667,11,9,1,8.76556291390729,7.08333333333333,86,79,7,37,37,0,260.711091695671,251.870077385187,8.84101431048389,1995
"102",15,32,32,0,1,151,-6,"Kig","MRB054",2,1994,16,13,5,-6.21854304635762,-5.62666666666667,11,9,1,8.76556291390729,7.08333333333333,86,79,7,37,37,0,260.711091695671,251.870077385187,8.84101431048389,1995
"103",15,33,33,0,1,154,-9,"Kig","MRB055",2,1994,16,13,5,-6.21854304635762,-5.62666666666667,11,9,1,8.76556291390729,7.08333333333333,86,79,7,37,37,0,260.711091695671,251.870077385187,8.84101431048389,1995
"104",19,30,30,0,1,148,-3,"Kig","MRB061",2,1994,16,13,5,-6.21854304635762,-5.62666666666667,11,9,1,8.76556291390729,7.08333333333333,86,79,7,37,37,0,260.711091695671,251.870077385187,8.84101431048389,1995
"105",20,34,34,0,1,153,-8,"Kig","MRB063",2,1994,16,13,5,-6.21854304635762,-5.62666666666667,11,9,1,8.76556291390729,7.08333333333333,86,79,7,37,37,0,260.711091695671,251.870077385187,8.84101431048389,1995
"106",23,31,31,0,1,146,-1,"Kig","MRB065",2,1994,16,13,5,-6.21854304635762,-5.62666666666667,11,9,1,8.76556291390729,7.08333333333333,86,79,7,37,37,0,260.711091695671,251.870077385187,8.84101431048389,1995
"107",24,28,28,0,1,147,-2,"Kig","MRB067",2,1994,16,13,5,-6.21854304635762,-5.62666666666667,11,9,1,8.76556291390729,7.08333333333333,86,79,7,37,37,0,260.711091695671,251.870077385187,8.84101431048389,1995
"108",32,36,36,0,1,155,-10,"Kig","MRB071",2,1994,16,13,5,-6.21854304635762,-5.62666666666667,11,9,1,8.76556291390729,7.08333333333333,86,79,7,37,37,0,260.711091695671,251.870077385187,8.84101431048389,1995
"109",1,24,24,0,1,143,2,"Kig","TLM007",2,1994,16,13,5,-6.21854304635762,-5.62666666666667,11,9,1,8.76556291390729,7.08333333333333,86,79,7,37,37,0,260.711091695671,251.870077385187,8.84101431048389,1995
"110",3,24,24,0,1,142,3,"Kig","TLM018",2,1994,16,13,5,-6.21854304635762,-5.62666666666667,11,9,1,8.76556291390729,7.08333333333333,86,79,7,37,37,0,260.711091695671,251.870077385187,8.84101431048389,1995
"111",5,27,27,0,1,144,1,"Kig","TLM026",2,1994,16,13,5,-6.21854304635762,-5.62666666666667,11,9,1,8.76556291390729,7.08333333333333,86,79,7,37,37,0,260.711091695671,251.870077385187,8.84101431048389,1995
"112",5,21,21,0,1,141,4,"Kig","TLM029",2,1994,16,13,5,-6.21854304635762,-5.62666666666667,11,9,1,8.76556291390729,7.08333333333333,86,79,7,37,37,0,260.711091695671,251.870077385187,8.84101431048389,1995
"113",6,26,26,0,1,145,0,"Kig","TLM030",2,1994,16,13,5,-6.21854304635762,-5.62666666666667,11,9,1,8.76556291390729,7.08333333333333,86,79,7,37,37,0,260.711091695671,251.870077385187,8.84101431048389,1995
"114",6,19,19,0,1,142,3,"Kig","TLM031",2,1994,16,13,5,-6.21854304635762,-5.62666666666667,11,9,1,8.76556291390729,7.08333333333333,86,79,7,37,37,0,260.711091695671,251.870077385187,8.84101431048389,1995
"115",8,23,23,0,1,144,1,"Kig","TLM039",2,1994,16,13,5,-6.21854304635762,-5.62666666666667,11,9,1,8.76556291390729,7.08333333333333,86,79,7,37,37,0,260.711091695671,251.870077385187,8.84101431048389,1995
"116",8,27,27,0,1,146,-1,"Kig","TLM040",2,1994,16,13,5,-6.21854304635762,-5.62666666666667,11,9,1,8.76556291390729,7.08333333333333,86,79,7,37,37,0,260.711091695671,251.870077385187,8.84101431048389,1995
"117",9,23,23,0,1,144,1,"Kig","TLM043",2,1994,16,13,5,-6.21854304635762,-5.62666666666667,11,9,1,8.76556291390729,7.08333333333333,86,79,7,37,37,0,260.711091695671,251.870077385187,8.84101431048389,1995
"118",9,24,24,0,1,145,0,"Kig","TLM044",2,1994,16,13,5,-6.21854304635762,-5.62666666666667,11,9,1,8.76556291390729,7.08333333333333,86,79,7,37,37,0,260.711091695671,251.870077385187,8.84101431048389,1995
"119",9,27,27,0,1,148,-3,"Kig","TLM045",2,1994,16,13,5,-6.21854304635762,-5.62666666666667,11,9,1,8.76556291390729,7.08333333333333,86,79,7,37,37,0,260.711091695671,251.870077385187,8.84101431048389,1995
